Date,Price
20151119,2229.5000
20151118,2275.3300
20151117,2338.6800
20151114,2321.7600
20151113,2288.7400
20151112,2259.8800
20151111,2261.7100
20151110,2277.6300
20151107,2267.9700
20151106,2257.0400
20151104,2321.6300
20151103,2329.7500
20151031,2375.4700
20151030,2391.0900
20151029,2460.1000
20151028,2379.9800
20151027,2348.1500
20151024,2332.6100
20151023,2354.7200
20151022,2364.8100
20151021,2345.7000
20151020,2314.4800
20151017,2320.6200
20151016,2368.0800
20151015,2382.0300
20151014,2309.4200
20151013,2288.9700
20151010,2269.3000
20151009,2289.8100
20151008,2314.2200
20151007,2379.4100
20151006,2393.3500
20151003,2345.4300
20151002,2329.6600
20151001,2372.3700
20150930,2394.9000
20150929,2397.1500
20150926,2418.6400
20150925,2426.0300
20150924,2387.8200
20150923,2402.6600
20150922,2417.6500
20150919,2397.5500
20150918,2349.7300
20150917,2352.2400
20150916,2386.9500
20150915,2420.8400
20150912,2419.0900
20150911,2439.4900
20150910,2439.9800
20150909,2479.0400
20150908,2468.3200
20150905,2448.1400
20150904,2434.6100
20150903,2443.7800
20150902,2399.1700
20150901,2434.5100
20150829,2405.5500
20150828,2447.1300
20150827,2528.0100
20150826,2595.7000
20150825,2623.6900
20150822,2517.2600
20150821,2449.8200
20150820,2373.3400
20150819,2368.6200
20150818,2353.0100
20150815,2331.4900
20150814,2299.0700
20150813,2334.4900
20150812,2262.3900
20150811,2270.2300
20150808,2239.9900
20150807,2227.8200
20150806,2190.8600
20150805,2210.1800
20150804,2195.1600
20150801,2095.4700
20150731,2059.0300
20150730,2107.4400
20150729,2121.3200
20150728,2076.2100
20150725,2022.2200
20150724,2031.5500
20150723,2010.8000
20150722,2030.6000
20150721,2037.3700
20150718,2088.8600
20150717,2096.6700
20150716,2103.7200
20150715,2112.5100
20150714,2101.9900
20150711,2117.8200
20150710,2128.9200
20150709,2123.3400
20150708,2145.4800
20150707,2111.5500
20150704,2088.5200
20150703,2083.3600
20150702,2089.8200
20150701,2109.5200
20150630,2100.2100
20150627,2069.6000
20150626,2062.0300
20150625,2044.0900
20150624,2062.3800
20150623,2055.4200
20150620,2072.4700
20150619,2054.0900
20150618,2042.2500
20150617,2053.8400
20150616,2093.6400
20150612,2069.5700
20150611,2090.4000
20150610,2122.9000
20150609,2114.2800
20150606,2126.4500
20150605,2090.5600
20150604,2024.2000
20150603,2042.4800
20150602,2016.3200
20150530,2027.3400
20150529,1999.6800
20150528,1948.3800
20150527,1931.7700
20150526,1930.2600
20150523,1938.5500
20150522,1941.3800
20150521,1931.8200
20150520,1928.3900
20150519,1943.4000
20150516,1955.7000
20150515,1955.7800
20150514,1900.0200
20150513,1938.8500
20150509,1933.9500
20150508,1915.4600
20150507,1914.2700
20150506,1975.8800
20150501,1980.0500
20150430,2002.7200
20150429,2020.2900
20150428,1957.1700
20150425,1925.9000
20150424,1970.4900
20150423,2074.2200
20150422,2078.3300
20150421,1993.1000
20150418,1956.8600
20150417,1923.8500
20150416,1931.9800
20150415,1990.9500
20150414,2018.8600
20150411,1973.3600
20150410,2020.3700
20150409,2103.6900
20150408,2149.9100
20150407,2177.7100
20150404,2186.8600
20150403,2201.4800
20150402,2216.1600
20150401,2185.7300
20150331,2231.9200
20150328,2223.4800
20150327,2194.0600
20150326,2200.3300
20150325,2254.6800
20150324,2257.9000
20150321,2261.6400
20150320,2239.0700
20150319,2266.2800
20150318,2292.5700
20150317,2311.8700
20150314,2279.9000
20150313,2275.9200
20150312,2335.1100
20150311,2264.4400
20150307,2307.8600
20150306,2385.5600
20150305,2395.6300
20150304,2421.6300
20150303,2434.2000
20150228,2373.7700
20150227,2381.3200
20150226,2427.8800
20150225,2441.0200
20150221,2388.2900
20150220,2432.5100
20150219,2420.4900
20150218,2468.1800
20150217,2485.0900
20150214,2564.9700
20150213,2603.8300
20150212,2623.9900
20150211,2603.9000
20150210,2627.2700
20150207,2683.9000
20150206,2787.7100
20150205,2670.7200
20150204,2791.2200
20150203,2854.0000
20150131,2800.0700
20150130,2818.5100
20150129,2778.5600
20150128,2788.6200
20150127,2705.1700
20150124,2636.3200
20150123,2706.1200
20150122,2735.7500
20150121,2699.9700
20150120,2664.4400
20150117,2636.5200
20150116,2574.8200
20150115,2611.2300
20150114,2582.9800
20150113,2464.8000
20150101,2168.3400
20141231,2146.0800
20141230,2175.8300
20141227,1969.0500
20141226,1991.0600
20141225,2062.0300
20141224,2069.3400
20141223,2170.9600
20141220,2336.3100
20141219,2320.1300
20141218,2613.0300
20141217,2357.7900
20141216,2271.2100
20141213,2237.9200
20141212,2148.3200
20141211,2143.3000
20141210,2102.8600
20141209,2048.5200
20141206,2056.6700
20141205,2039.7300
20141204,2103.7900
20141203,1953.7700
20141202,1963.3600
20141129,1878.3100
20141128,1833.5100
20141127,1784.7500
20141126,1738.4600
20141125,1722.0900
20141122,1756.7800
20141121,1792.9000
20141120,1815.5700
20141119,1815.5400
20141118,1806.3600
20141115,1758.3300
20141114,1721.6400
20141113,1733.0100
20141112,1700.8500
20141111,1729.2600
20141108,1762.4900
20141107,1662.6600
20141106,1634.8100
20141101,1582.8700
20141031,1682.2100
20141030,1683.9700
20141029,1674.0800
20141028,1659.5900
20141025,1655.7500
20141024,1654.9800
20141023,1642.1200
20141022,1652.0500
20141021,1631.1300
20141018,1633.7000
20141017,1625.7100
20141016,1610.5000
20141015,1606.7000
20141014,1592.0800
20141011,1580.2000
20141010,1577.8100
20141009,1568.2500
20141008,1542.8500
20141007,1533.8600
20141004,1541.1600
20141003,1544.2100
20141002,1540.9700
20141001,1532.1200
20140930,1542.0500
20140927,1521.7200
20140926,1490.6000
20140925,1510.4700
20140924,1522.8900
20140923,1505.7400
20140920,1509.8100
20140919,1510.7200
20140918,1525.4700
20140917,1541.5200
20140916,1507.9800
20140913,1497.8400
20140912,1498.4700
20140911,1498.8500
20140910,1495.1600
20140909,1511.0200
20140906,1500.4500
20140905,1503.9300
20140904,1521.9600
20140903,1534.2800
20140902,1543.4700
20140830,1526.6700
20140829,1503.4100
20140828,1493.0600
20140827,1494.6500
20140826,1483.2500
20140823,1482.7700
20140822,1495.7400
20140821,1507.6100
20140820,1509.5200
20140819,1509.0700
20140816,1520.4500
20140815,1523.6900
20140814,1524.7100
20140813,1521.1400
20140812,1516.2000
20140809,1543.8000
20140808,1517.4200
20140807,1495.9100
20140806,1487.9000
20140805,1483.0100
20140802,1475.4500
20140801,1475.7100
20140731,1490.3800
20140730,1497.9400
20140729,1482.9900
20140726,1456.6400
20140725,1466.1400
20140724,1463.3100
20140723,1472.3600
20140722,1481.0000
20140719,1481.2500
20140718,1457.5700
20140717,1434.4000
20140716,1449.8800
20140715,1457.6100
20140712,1463.4600
20140711,1461.2300
20140710,1448.8800
20140709,1459.0600
20140708,1459.5700
20140705,1458.3100
20140704,1453.9400
20140703,1460.9500
20140702,1458.9100
20140701,1428.6600
20140628,1422.1100
20140627,1423.1300
20140626,1430.2600
20140625,1445.4000
20140624,1447.6300
20140621,1449.6400
20140620,1413.8500
20140619,1420.7600
20140618,1415.1700
20140617,1424.4100
20140612,1393.1700
20140611,1385.0700
20140610,1385.2000
20140607,1397.2800
20140606,1396.8600
